Feature,LIME Weight,Predicted Close t+1,Date_dt,Model,Coin,Scope,Date
Close_t-3,0.2430912261428249,0.2430912261428249,2022-02-23 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-23
Close_t-4,0.2289065503634051,0.2289065503634051,2022-02-23 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-23
Close_t-5,0.2176017369173007,0.2176017369173007,2022-02-23 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-23
Close_t-6,0.2054850781175908,0.2054850781175908,2022-02-23 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-23
Close_t-7,0.1970698822395062,0.1970698822395062,2022-02-23 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-23
BTC_t-0,0.1851959622570488,0.1851959622570488,2022-02-23 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-23
BTC_t-1,0.1826190348065272,0.1826190348065272,2022-02-23 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-23
Close_t-0,0.2673523580094161,0.2673523580094161,2022-02-24 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-24
Close_t-1,0.2622808786790079,0.2622808786790079,2022-02-24 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-24
Close_t-2,0.2549370254579605,0.2549370254579605,2022-02-24 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-24
Close_t-3,0.2435781080650126,0.2435781080650126,2022-02-24 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-24
Close_t-4,0.231021952096408,0.231021952096408,2022-02-24 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-24
Close_t-5,0.2151848421640978,0.2151848421640978,2022-02-24 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-24
Close_t-6,0.2050230300904771,0.2050230300904771,2022-02-24 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-24
Close_t-7,0.1959191726650127,0.1959191726650127,2022-02-24 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-24
Close_t-8,0.1883270513630497,0.1883270513630497,2022-02-24 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-24
BTC_t-0,0.1862727332870005,0.1862727332870005,2022-02-24 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-24
Close_t-0,0.2641209654217998,0.2641209654217998,2022-02-25 00:00:00,Bidirectional LSTM,NMC - Namecoin,1 day ahead,2022-02-25
