Date,Ticker,Gtrend
2016-12-17,BTC-USD,36
2016-12-18,BTC-USD,34
2016-12-19,BTC-USD,39
2016-12-20,BTC-USD,40
2016-12-21,BTC-USD,48
2016-12-22,BTC-USD,57
2016-12-23,BTC-USD,64
2016-12-24,BTC-USD,51
2016-12-25,BTC-USD,52
2016-12-26,BTC-USD,50
2016-12-27,BTC-USD,54
2016-12-28,BTC-USD,65
2016-12-29,BTC-USD,63
2016-12-30,BTC-USD,56
2016-12-31,BTC-USD,45
2017-01-01,BTC-USD,50
2017-01-02,BTC-USD,80
2017-01-03,BTC-USD,75
2017-01-04,BTC-USD,83
2017-01-05,BTC-USD,100
2017-01-06,BTC-USD,91
2017-01-07,BTC-USD,75
2017-01-08,BTC-USD,72
2017-01-09,BTC-USD,67
2017-01-10,BTC-USD,63
2017-01-11,BTC-USD,70
2017-01-12,BTC-USD,73
2017-01-13,BTC-USD,58
2017-01-14,BTC-USD,56
2017-01-15,BTC-USD,53
2017-01-16,BTC-USD,50
2017-01-17,BTC-USD,54
2017-01-18,BTC-USD,53
2017-01-19,BTC-USD,51
2017-01-20,BTC-USD,47
2017-01-21,BTC-USD,47
2017-01-22,BTC-USD,45
2017-01-23,BTC-USD,48
2017-01-24,BTC-USD,50
2017-01-25,BTC-USD,45
2017-01-26,BTC-USD,44
2017-01-27,BTC-USD,45
2017-01-28,BTC-USD,43
2017-01-29,BTC-USD,43
2017-01-30,BTC-USD,46
2017-01-30,BTC-USD,12
2017-01-31,BTC-USD,12
2017-02-01,BTC-USD,13
2017-02-02,BTC-USD,14
2017-02-03,BTC-USD,14
2017-02-04,BTC-USD,13
2017-02-05,BTC-USD,13
2017-02-06,BTC-USD,13
2017-02-07,BTC-USD,13
2017-02-08,BTC-USD,14
2017-02-09,BTC-USD,14
2017-02-10,BTC-USD,14
2017-02-11,BTC-USD,13
2017-02-12,BTC-USD,12
2017-02-13,BTC-USD,12
2017-02-14,BTC-USD,12
2017-02-15,BTC-USD,12
2017-02-16,BTC-USD,13
2017-02-17,BTC-USD,13
2017-02-18,BTC-USD,12
2017-02-19,BTC-USD,11
2017-02-20,BTC-USD,12
2017-02-21,BTC-USD,15
2017-02-22,BTC-USD,14
2017-02-23,BTC-USD,16
2017-02-24,BTC-USD,19
2017-02-25,BTC-USD,15
2017-02-26,BTC-USD,14
2017-02-27,BTC-USD,14
2017-02-28,BTC-USD,15
2017-03-01,BTC-USD,15
2017-03-02,BTC-USD,19
2017-03-03,BTC-USD,24
2017-03-04,BTC-USD,20
2017-03-05,BTC-USD,17
2017-03-06,BTC-USD,18
2017-03-07,BTC-USD,20
2017-03-08,BTC-USD,20
2017-03-09,BTC-USD,18
2017-03-10,BTC-USD,24
2017-03-11,BTC-USD,21
2017-03-12,BTC-USD,17
2017-03-13,BTC-USD,17
2017-03-14,BTC-USD,16
2017-03-15,BTC-USD,16
2017-03-16,BTC-USD,16
2017-03-17,BTC-USD,17
2017-03-18,BTC-USD,20
2017-03-19,BTC-USD,18
2017-03-20,BTC-USD,17
2017-03-21,BTC-USD,16
2017-03-22,BTC-USD,17
2017-03-23,BTC-USD,16
2017-03-24,BTC-USD,17
2017-03-25,BTC-USD,17
2017-03-26,BTC-USD,16
2017-03-27,BTC-USD,15
2017-03-28,BTC-USD,15
2017-03-29,BTC-USD,15
2017-03-30,BTC-USD,14
2017-03-31,BTC-USD,14
2017-04-01,BTC-USD,14
2017-04-02,BTC-USD,14
2017-04-03,BTC-USD,15
2017-04-04,BTC-USD,15
2017-04-05,BTC-USD,14
2017-04-06,BTC-USD,14
2017-04-07,BTC-USD,14
2017-04-08,BTC-USD,14
2017-04-09,BTC-USD,13
2017-04-10,BTC-USD,14
2017-04-11,BTC-USD,15
2017-04-12,BTC-USD,14
2017-04-13,BTC-USD,14
2017-04-14,BTC-USD,13
2017-04-15,BTC-USD,13
2017-04-16,BTC-USD,13
2017-04-17,BTC-USD,13
2017-04-18,BTC-USD,15
2017-04-19,BTC-USD,14
2017-04-20,BTC-USD,14
2017-04-21,BTC-USD,14
2017-04-22,BTC-USD,14
2017-04-23,BTC-USD,12
2017-04-24,BTC-USD,13
2017-04-25,BTC-USD,16
2017-04-26,BTC-USD,16
2017-04-27,BTC-USD,17
2017-04-28,BTC-USD,16
2017-04-29,BTC-USD,15
2017-04-30,BTC-USD,15
2017-05-01,BTC-USD,18
