Feature,LIME Weight,Predicted Close t+1,Date_dt,Model,Ticker,Scope,Date
Close_t-1,6.640882196756542,6.640882196756542,2021-07-23,Deep Learning LSTM,LTC,1 day ahead,2021-07-23
Close_t-3,6.117795478059059,6.117795478059059,2021-07-23,Deep Learning LSTM,LTC,1 day ahead,2021-07-23
Close_t-4,5.6081323004517785,5.6081323004517785,2021-07-23,Deep Learning LSTM,LTC,1 day ahead,2021-07-23
Close_t-0,5.468615349522732,5.468615349522732,2021-07-23,Deep Learning LSTM,LTC,1 day ahead,2021-07-23
Close_t-5,4.578320721543394,4.578320721543394,2021-07-23,Deep Learning LSTM,LTC,1 day ahead,2021-07-23
Close_t-6,4.275459458197776,4.275459458197776,2021-07-23,Deep Learning LSTM,LTC,1 day ahead,2021-07-23
Close_t-7,3.7055730930323434,3.7055730930323434,2021-07-23,Deep Learning LSTM,LTC,1 day ahead,2021-07-23
Close_t-8,3.058771930482531,3.058771930482531,2021-07-23,Deep Learning LSTM,LTC,1 day ahead,2021-07-23
Close_t-9,2.9505544579025664,2.9505544579025664,2021-07-23,Deep Learning LSTM,LTC,1 day ahead,2021-07-23
Close_t-2,6.970953320712479,6.970953320712479,2021-07-24,Deep Learning LSTM,LTC,1 day ahead,2021-07-24
Close_t-1,6.903286962178133,6.903286962178133,2021-07-24,Deep Learning LSTM,LTC,1 day ahead,2021-07-24
Close_t-3,6.414141560091196,6.414141560091196,2021-07-24,Deep Learning LSTM,LTC,1 day ahead,2021-07-24
Close_t-4,5.6485442411828,5.6485442411828,2021-07-24,Deep Learning LSTM,LTC,1 day ahead,2021-07-24
Close_t-0,5.6368474986451025,5.6368474986451025,2021-07-24,Deep Learning LSTM,LTC,1 day ahead,2021-07-24
Close_t-5,4.92110903383584,4.92110903383584,2021-07-24,Deep Learning LSTM,LTC,1 day ahead,2021-07-24
Close_t-6,4.203604289290791,4.203604289290791,2021-07-24,Deep Learning LSTM,LTC,1 day ahead,2021-07-24
Close_t-7,3.784606049275133,3.784606049275133,2021-07-24,Deep Learning LSTM,LTC,1 day ahead,2021-07-24
Close_t-8,3.1157060343581886,3.1157060343581886,2021-07-24,Deep Learning LSTM,LTC,1 day ahead,2021-07-24
Close_t-9,2.6675046358861696,2.6675046358861696,2021-07-24,Deep Learning LSTM,LTC,1 day ahead,2021-07-24
Close_t-1,6.735054879571711,6.735054879571711,2021-07-25,Deep Learning LSTM,LTC,1 day ahead,2021-07-25
Close_t-2,6.688070440067952,6.688070440067952,2021-07-25,Deep Learning LSTM,LTC,1 day ahead,2021-07-25
Close_t-3,6.135086242936388,6.135086242936388,2021-07-25,Deep Learning LSTM,LTC,1 day ahead,2021-07-25
Close_t-0,5.4538246760566125,5.4538246760566125,2021-07-25,Deep Learning LSTM,LTC,1 day ahead,2021-07-25
Close_t-4,5.37554876058793,5.37554876058793,2021-07-25,Deep Learning LSTM,LTC,1 day ahead,2021-07-25
Close_t-5,4.899121559178498,4.899121559178498,2021-07-25,Deep Learning LSTM,LTC,1 day ahead,2021-07-25
Close_t-6,4.191240873279732,4.191240873279732,2021-07-25,Deep Learning LSTM,LTC,1 day ahead,2021-07-25
Close_t-7,3.8787614116326345,3.8787614116326345,2021-07-25,Deep Learning LSTM,LTC,1 day ahead,2021-07-25
Close_t-8,3.2278231312379684,3.2278231312379684,2021-07-25,Deep Learning LSTM,LTC,1 day ahead,2021-07-25
Close_t-9,2.9152640254028968,2.9152640254028968,2021-07-25,Deep Learning LSTM,LTC,1 day ahead,2021-07-25
Close_t-2,6.7645013928581905,6.7645013928581905,2021-07-26,Deep Learning LSTM,LTC,1 day ahead,2021-07-26
Close_t-1,6.759826221929252,6.759826221929252,2021-07-26,Deep Learning LSTM,LTC,1 day ahead,2021-07-26
Close_t-3,6.081142868443371,6.081142868443371,2021-07-26,Deep Learning LSTM,LTC,1 day ahead,2021-07-26
Close_t-4,5.619897723710015,5.619897723710015,2021-07-26,Deep Learning LSTM,LTC,1 day ahead,2021-07-26
Close_t-0,5.618027388458096,5.618027388458096,2021-07-26,Deep Learning LSTM,LTC,1 day ahead,2021-07-26
Close_t-5,5.112366706655312,5.112366706655312,2021-07-26,Deep Learning LSTM,LTC,1 day ahead,2021-07-26
Close_t-6,4.250834932619819,4.250834932619819,2021-07-26,Deep Learning LSTM,LTC,1 day ahead,2021-07-26
Close_t-7,3.7906596553342675,3.7906596553342675,2021-07-26,Deep Learning LSTM,LTC,1 day ahead,2021-07-26
Close_t-8,3.201718865541687,3.201718865541687,2021-07-26,Deep Learning LSTM,LTC,1 day ahead,2021-07-26
Close_t-9,2.8393028752013656,2.8393028752013656,2021-07-26,Deep Learning LSTM,LTC,1 day ahead,2021-07-26
Close_t-2,6.8277545042746315,6.8277545042746315,2021-07-27,Deep Learning LSTM,LTC,1 day ahead,2021-07-27
Close_t-1,6.684207137346918,6.684207137346918,2021-07-27,Deep Learning LSTM,LTC,1 day ahead,2021-07-27
Close_t-3,6.210264773584217,6.210264773584217,2021-07-27,Deep Learning LSTM,LTC,1 day ahead,2021-07-27
Close_t-4,5.610953071161948,5.610953071161948,2021-07-27,Deep Learning LSTM,LTC,1 day ahead,2021-07-27
Close_t-0,5.4984109177344624,5.4984109177344624,2021-07-27,Deep Learning LSTM,LTC,1 day ahead,2021-07-27
Close_t-5,4.89935510549207,4.89935510549207,2021-07-27,Deep Learning LSTM,LTC,1 day ahead,2021-07-27
Close_t-6,4.228200201852314,4.228200201852314,2021-07-27,Deep Learning LSTM,LTC,1 day ahead,2021-07-27
Close_t-7,3.7721425275335996,3.7721425275335996,2021-07-27,Deep Learning LSTM,LTC,1 day ahead,2021-07-27
Close_t-8,3.208821618060663,3.208821618060663,2021-07-27,Deep Learning LSTM,LTC,1 day ahead,2021-07-27
Close_t-9,2.679467946831216,2.679467946831216,2021-07-27,Deep Learning LSTM,LTC,1 day ahead,2021-07-27
